2068,32
4827,27
3173,26
2857,25
288,25
1240,24
5668,24
613,23
9441,23
3093,23
2717,23
3405,23
1673,23
1598,23
1337,23
5332,23
350,22
1769,22
3180,22
2437,22
4034,22
5423,22
391,22
798,22
4611,22
3078,22
435,21
1651,21
6060,21
4399,21
1464,21
398,21
4552,21
437,21
8353,21
1581,21
1343,21
2251,21
6777,21
7810,20
4774,20
4200,20
603,20
139,20
2867,20
1818,20
3309,20
5096,20
7832,20
3937,20
366,20
2734,20
2378,20
5416,20
662,20
859,20
5012,20
888,20
3883,20
4335,20
2969,20
1246,20
2511,20
392,19
1143,19
2776,19
4092,19
1276,19
6030,19
2684,19
7877,19
4451,19
1822,19
1074,19
92,19
1739,19
64,19
1321,19
2910,19
4816,19
993,19
1158,19
2702,19
1272,19
6591,19
7209,19
1315,19
6857,19
10795,19
3608,19
4329,19
5922,19
6001,19
4395,19
4473,19
3278,19
3153,19
4316,19
1482,19
3924,19
975,19
6805,19
2325,19
5198,19
